city,iata,icao
Ahmedabad,AMD,VAAH
Akola,AKD,VAAK
Aurangabad,IXU,VAAU
Mumbai,BOM,VABB
Bilaspur,PAB,VABI
Bhuj,BHJ,VABJ
Belgaum,IXG,VABM
Baroda,BDQ,VABO
Bhopal,BHO,VABP
Bhaunagar,BHU,VABV
Daman,NMB,VADN
Goa,GOI,VAGO
Indore,IDR,VAID
Jabalpur,JLR,VAJB
Jamnagar,JGA,VAJM
Kandla,IXY,VAKE
Khajuraho,HJR,VAKJ
Kolhapur,KLH,VAKP
Keshod,IXK,VAKS
Nagpur,NAG,VANP
Nasik Road,ISK,VANR
Pune,PNQ,VAPO
Porbandar,PBD,VAPR
Rajkot,RAJ,VARK
Raipur,RPR,VARP
Sholapur,SSE,VASL
Surat,STV,VASU
Udaipur,UDR,VAUD
Agartala,IXA,VEAT
Aizwal,AJL,VELP
Baghdogra,IXB,VEBD
Bhubaneswar,BBI,VEBS
Kolkata,CCU,VECC
Cooch-behar,COH,VECO
Dhanbad,DBD,VEDB
Gaya,GAY,VEGY
Imphal,IMF,VEIM
Jamshedpur,IXW,VEJS
Jorhat,JRH,VEJT
Kailashahar,IXH,VEKR
Silchar,IXS,VEKU
Lilabari,IXI,VELR
Mohanbari,DIB,VEMN
Patina,PAT,VEPT
Ranchi,IXR,VERC
Rourkela,RRK,VERK
Vishakhapatnam,VTZ,VEVZ
Agra,AGR,VIAG
Allahabad,IXD,VIAL
Amritsar,ATQ,VIAR
Varanasi,VNS,VIBN
Kulu,KUU,VIBR
Chandigarh,IXC,VICG
Dehra Dun,DED,VIDN
Delhi,DEL,VIDP
Gwalior,GWL,VIGR
Jodhpur,JDH,VIJO
Jaipur,JAI,VIJP
Jaisalmer,JSA,VIJR
Jammu,IXJ,VIJU
Kanpur,KNU,VIKA
Kota,KTU,VIKO
Ludhiaha,LUH,VILD
Leh,IXL,VILH
Lucknow,LKO,VILK
Pathankot,IXP,VIPK
Nainital,PGH,VIPT
Srinagar,SXR,VISR
Satna,TNI,VIST
Agatti Island,AGX,VOAT
Bangalore,BLR,VOBL
Bellary,BEP,VOBI
Vijayawada,VGA,VOBZ
Coimbatore,CJB,VOCB
Kochi,COK,VOCI
Calicut,CCJ,VOCL
Cuddapah,CDP,VOCP
Hyderabad,BPM,VOHY
Madurai,IXM,VOMD
Mangalore,IXE,VOML
Madras,MAA,VOMM
Port Blair,IXZ,VOPB
Pendicherry,PNY,VOPC
Rajahmundry,RJA,VORY
Tirupeti,TIR,VOTP
Tiruchirappalli,TRZ,VOTR
Trivandrum,TRV,VOTV
Diu,DIU,VA1P
Hubli,HBX,VAHB
Shillong,SHL,VEBI
Guwahati,GAU,VEGT
Dimapur,DMU,VEMR
Tezpur,TEZ,VETZ
Gorakhpur,GOP,VEGK
Kangra,DHM,VIGG
Nanded,NDC,VAND
Shimla,SLV,VISM
Mysore,MYQ,VOMY
Thoothukudi,TCR,\N
